City,State,Neighborhood,lat,lng
Los Angeles,CA,Hyde Park,33.980569,-118.3306308
Los Angeles,CA,Jefferson Park,34.0324579,-118.3140488
Los Angeles,CA,Koreatown,34.0708598,-118.29358909999998
Los Angeles,CA,Ladera Heights,33.9871561,-118.3725116
Los Angeles,CA,Lake Balboa,34.20108320000001,-118.5010942
Los Angeles,CA,Lake View Terrace,34.2763908,-118.36119120000001
Los Angeles,CA,Larchmont,34.0785555,-118.3236501
Los Angeles,CA,Leimert Park,34.01067020000001,-118.3234759
Los Angeles,CA,Lincoln Heights,34.0737028,-118.2117257
Los Angeles,CA,Little Tokyo,34.05233920000001,-118.23950520000001
Los Angeles,CA,Los Feliz,34.1063307,-118.2848199
Los Angeles,CA,Manchester Square,33.959756,-118.4105318
Los Angeles,CA,Manhattan Beach,33.884736100000005,-118.41090890000001
Los Angeles,CA,Mar Vista,34.0152567,-118.4338345
Los Angeles,CA,Marina del Rey,33.980289299999995,-118.45174490000001
Los Angeles,CA,Mid-City,34.0307517,-118.479097
Los Angeles,CA,Mid-Wilshire,34.0702406,-118.30927199999999
Los Angeles,CA,Mission Hills,34.2722582,-118.46887759999998
Los Angeles,CA,Montecito Heights,34.0839439,-118.2000277
Los Angeles,CA,Mount Washington,34.0996886,-118.2088013
Los Angeles,CA,North Hills,34.235822,-118.4849365
Los Angeles,CA,North Hollywood,34.187044,-118.3812562
Los Angeles,CA,Northridge,34.2381251,-118.530123
Los Angeles,CA,Pacific Palisades,34.03563310000001,-118.51559009999998
Los Angeles,CA,Pacoima,34.276769099999996,-118.41046840000001
Los Angeles,CA,Palms,34.0244133,-118.40754740000001
Los Angeles,CA,Panorama City,34.227616999999995,-118.442425
Los Angeles,CA,Pasadena,34.1477849,-118.1445155
Los Angeles,CA,Pico-Robertson,34.055688700000005,-118.37979550000001
Los Angeles,CA,Pico-Union,34.0447222,-118.27694440000002
Los Angeles,CA,Playa Vista,33.97278980000001,-118.42757759999998
Los Angeles,CA,Playa del Rey,33.956419399999994,-118.44223170000001
Los Angeles,CA,Porter Ranch,34.282213399999996,-118.5506158
Los Angeles,CA,Rancho Park,34.04543020000001,-118.4206915
Los Angeles,CA,Redondo Beach,33.8491816,-118.3884078
Los Angeles,CA,Reseda,34.2011141,-118.5360517
Los Angeles,CA,San Fernando,34.2819461,-118.4389719
Los Angeles,CA,San Pedro,33.7360619,-118.29224609999999
Los Angeles,CA,Santa Monica,34.01945429999999,-118.4911912
Los Angeles,CA,Sawtelle,34.0433903,-118.4542772
Los Angeles,CA,Sepulveda Basin,33.768655200000005,-118.20556100000002
Los Angeles,CA,Shadow Hills,34.25752620000001,-118.35496090000002
Los Angeles,CA,Sherman Oaks,34.1489719,-118.451357
Los Angeles,CA,Silver Lake,34.0869409,-118.27020359999999
Los Angeles,CA,South Park,34.0406561,-118.26581840000001
Los Angeles,CA,South Pasadena,34.1161196,-118.15034879999999
Los Angeles,CA,Studio City,34.1395597,-118.38709909999999
Los Angeles,CA,Sun Valley,34.2279298,-118.3812562
Los Angeles,CA,Sunland,34.2596475,-118.3082747
Los Angeles,CA,Sylmar,34.3058279,-118.45719740000001
Los Angeles,CA,Tarzana,34.1494848,-118.5506158
Los Angeles,CA,Terminal Island,33.7428471,-118.2614332
Los Angeles,CA,Toluca Lake,34.1501794,-118.35496090000002
Los Angeles,CA,Torrance,33.83584920000001,-118.34062879999999
Los Angeles,CA,Tujunga,34.2596475,-118.3082747
Los Angeles,CA,UCLA,34.068921,-118.4451812
Los Angeles,CA,Universal City,34.1397694,-118.3505779
Los Angeles,CA,University Park,34.0309703,-118.2789735
Los Angeles,CA,Valley Glen,34.186682,-118.41381489999999
Los Angeles,CA,Valley Village,34.163304499999995,-118.3841777
Los Angeles,CA,Van Nuys,34.1898566,-118.451357
Los Angeles,CA,Venice,33.9962144,-118.46887759999998
Los Angeles,CA,Vermont Knolls,33.882740000000005,-118.1628217
Los Angeles,CA,Vermont Square,34.0003565,-118.2970601
Los Angeles,CA,Vermont Vista,34.092434000000004,-118.290198
Los Angeles,CA,Vermont-Slauson,33.989021,-118.29168700000001
Los Angeles,CA,Vernon,34.003903,-118.230073
Los Angeles,CA,View Park/Windsor Hills,33.9936111,-118.34694440000001
Los Angeles,CA,Walnut Park,33.9680703,-118.2250723
Los Angeles,CA,Watts,33.938636100000004,-118.2380432
Los Angeles,CA,West Adams,34.03264410000001,-118.32004429999999
Los Angeles,CA,West Hills,34.197312200000006,-118.64398090000002
Los Angeles,CA,West Hollywood,34.0900091,-118.3617443
Los Angeles,CA,West Los Angeles,34.0412085,-118.442596
Los Angeles,CA,Westchester,33.962590500000005,-118.3987842
Los Angeles,CA,Westlake,34.0580432,-118.27312690000001
Los Angeles,CA,Westmont,33.9414035,-118.3022963
Los Angeles,CA,Westwood,34.0635016,-118.44551640000002
Los Angeles,CA,Wilmington,33.7857948,-118.26435670000001
Los Angeles,CA,Wilshire Center,34.063645,-118.3004193
Los Angeles,CA,Windsor Square,34.0688889,-118.32
Los Angeles,CA,Winnetka,34.2048586,-118.5739621
Los Angeles,CA,Woodland Hills,34.165357,-118.6089752
San Francisco,CA,Alamo Square,37.77634219999999,-122.43463340000001
San Francisco,CA,Anza Vista,37.7808685,-122.44318510000001
San Francisco,CA,Ashbury Heights,37.76532750000001,-122.4453083
San Francisco,CA,Balboa Terrace,37.73133350000001,-122.4686612
San Francisco,CA,Bayview-Hunters Point,37.730416,-122.384424
San Francisco,CA,Bernal Heights,37.74116220000001,-122.4178378
San Francisco,CA,Castro,37.7609082,-122.4350043
San Francisco,CA,Chinatown,37.794137799999994,-122.40779140000001
San Francisco,CA,Civic Center,37.7815533,-122.41564270000002
San Francisco,CA,Cole Valley,37.7650406,-122.4502301
San Francisco,CA,Corona Heights,37.765312200000004,-122.43858459999998
San Francisco,CA,Crocker-Amazon,37.71195230000001,-122.4375836
San Francisco,CA,Diamond Heights,37.7423723,-122.44247730000001
San Francisco,CA,Dogpatch,37.7591221,-122.3895378
San Francisco,CA,Duboce Triangle,37.76767879999999,-122.4318604
San Francisco,CA,Embarcadero,37.7976769,-122.3943387
San Francisco,CA,Excelsior,37.7244152,-122.4272295
San Francisco,CA,Fillmore,37.786997,-122.43681509999999
San Francisco,CA,Financial District,37.7945742,-122.3999445
San Francisco,CA,Fisherman's Wharf,37.8079996,-122.4177434
San Francisco,CA,Forest Hill,37.7473152,-122.46512320000001
San Francisco,CA,Glen Park,37.73777150000001,-122.4321041
San Francisco,CA,Hayes Valley,37.7759073,-122.42452469999999
San Francisco,CA,Ingleside,37.7198213,-122.4538009
San Francisco,CA,Ingleside Heights,37.7130811,-122.46795359999999
San Francisco,CA,Ingleside Terraces,37.724998,-122.46795359999999
San Francisco,CA,Inner Richmond,37.7806093,-122.47678859999999
San Francisco,CA,Inner Sunset,37.7467314,-122.4863492
San Francisco,CA,Japantown,37.785413500000004,-122.429383
San Francisco,CA,Lakeshore,37.7233167,-122.4886792
San Francisco,CA,Lakeside,37.7264914,-122.47344720000001
San Francisco,CA,Laurel Heights,37.7841497,-122.4538009
San Francisco,CA,Lower Haight,37.772116,-122.430466
San Francisco,CA,Lower Pacific Heights,37.786997,-122.43681509999999
San Francisco,CA,Marina/Cow Hollow,37.7973699,-122.44482179999999
San Francisco,CA,Merced Heights,37.719350399999996,-122.47165290000001
San Francisco,CA,Merced Manor,37.733048,-122.4785669
San Francisco,CA,Miraloma Park,37.738814,-122.44920079999999
San Francisco,CA,Mission,37.759864799999995,-122.4147977
San Francisco,CA,Mission Bay,37.7730963,-122.39292250000001
